Scan,Color,Generation,Selection,Progeny,Label (C-G-S-P),Founder
S058,Green,1,121,1,G-1-121-1,
S058,Red,1,127,3,R-1-127-3,
S058,Orange,7,53,3,O-7-53-3,
S059,Green,1,24,1,G-1-24-1,
S059,Red,1,156,1,R-1-156-1,
S060,Green,46,4,3,G-46-4-3,Alpha
S060,Red,1,94,2,R-1-94-2,
S061,Red,67,3,1,R-67-3-1,Orel
S061,Green,7,60,3,G-7-60-3,
S062,Green,1,38,3,G-1-38-3,
S062,Red,1,151,1,R-1-151-1,
S063,Red,69,5,1,R-69-5-1,Sandrel
S063,Orange,7,94,1,O-7-94-1,
S064,Green,68,3,2,G-68-3-2,Palmella Blue (79B)
S064,Blue,1,155,2,B-1-155-2,
S064,Red,1,195,3,R-1-195-3,
S064,Orange,7,100,3,O-7-100-3,
S065,Blue,60,4,2,B-60-4-2,Lyallpur
S065,Green,1,47,1,G-1-47-1,
S065,Orange,1,82,2,O-1-82-2,
S065,Red,7,166,3,R-7-166-3,
S066,Red,1,9,3,R-1-9-3,
S066,Blue,1,21,3,B-1-21-3,
S066,Orange,1,161,3,O-1-161-3,
S066,Green,1,203,3,G-1-203-3,
S067,Red,1,65,2,R-1-65-2,
S067,Blue,1,67,2,B-1-67-2,
S067,Orange,1,112,2,O-1-112-2,
S067,Green,7,116,3,G-7-116-3,
S068,Orange,1,6,2,O-1-6-2,
S068,Blue,1,103,3,B-1-103-3,
S068,Green,1,152,3,G-1-152-3,
S068,Red,7,220,1,R-7-220-1,
S069,Blue,1,35,3,B-1-35-3,
S069,Red,1,99,1,R-1-99-1,
S069,Green,1,108,2,G-1-108-2,
S069,Orange,1,168,2,O-1-168-2,
S070,Blue,51,5,2,B-51-5-2,Everest
S070,Orange,1,198,2,O-1-198-2,
S070,Green,1,214,2,G-1-214-2,
S070,Red,7,102,3,R-7-102-3,
S071,Green,1,2,3,G-1-2-3,
S071,Orange,1,28,3,O-1-28-3,
S071,Blue,1,163,3,B-1-163-3,
S071,Red,1,169,3,R-1-169-3,
S072,Orange,53,5,1,O-53-5-1,Glabron
S072,Green,53,5,3,G-53-5-3,Glabron
S072,Blue,1,18,2,B-1-18-2,
S072,Red,1,54,2,R-1-54-2,
S073,Orange,1,35,1,O-1-35-1,
S073,Blue,1,135,2,B-1-135-2,
S073,Green,1,136,1,G-1-136-1,
S073,Red,1,174,1,R-1-174-1,
S074,Red,1,67,3,R-1-67-3,
S074,Orange,1,163,2,O-1-163-2,
S074,Blue,1,197,2,B-1-197-2,
S074,Green,1,216,2,G-1-216-2,
S075,Blue,1,16,1,B-1-16-1,
S075,Red,1,103,1,R-1-103-1,
S075,Orange,1,212,1,O-1-212-1,
S075,Green,1,218,3,G-1-218-3,
S076,Orange,1,45,2,O-1-45-2,
S076,Blue,1,75,1,B-1-75-1,
S076,Red,1,213,3,R-1-213-3,
S076,Green,7,30,2,G-7-30-2,
S077,Orange,1,48,3,O-1-48-3,
S077,Red,1,89,3,R-1-89-3,
S077,Blue,1,124,1,B-1-124-1,
S077,Green,7,136,2,G-7-136-2,
S078,Orange,1,59,3,O-1-59-3,
S078,Red,1,148,1,R-1-148-1,
S078,Green,1,172,3,G-1-172-3,
S078,Blue,7,134,2,B-7-134-2,
S079,Orange,1,18,3,O-1-18-3,
S079,Red,1,73,3,R-1-73-3,
S079,Blue,1,137,1,B-1-137-1,
S079,Green,7,89,3,G-7-89-3,
S080,Orange,1,28,2,O-1-28-2,
S080,Blue,1,139,1,B-1-139-1,
S080,Red,1,211,1,R-1-211-1,
S080,Green,7,136,3,G-7-136-3,
S081,Green,54,5,1,G-54-5-1,Golden Pheasant
S081,Orange,1,132,3,O-1-132-3,
S081,Blue,1,194,3,B-1-194-3,
S081,Red,7,178,2,R-7-178-2,
S082,Orange,1,109,3,O-1-109-3,
S082,Red,1,141,1,R-1-141-1,
S082,Green,1,215,1,G-1-215-1,
S082,Blue,7,137,1,B-7-137-1,
S083,Orange,67,3,2,O-67-3-2,Orel
S083,Red,1,37,3,R-1-37-3,
S083,Green,1,59,1,G-1-59-1,
S083,Blue,7,103,2,B-7-103-2,
S084,Orange,1,55,3,O-1-55-3,
S084,Red,1,72,3,R-1-72-3,
S084,Green,1,89,2,G-1-89-2,
S084,Blue,1,191,3,B-1-191-3,
S085,Red,1,191,2,R-1-191-2,
S085,Orange,1,196,2,O-1-196-2,
S085,Blue,7,72,1,B-7-72-1,
S085,Green,7,158,2,G-7-158-2,
S086,Orange,1,41,3,O-1-41-3,
S086,Blue,1,154,3,B-1-154-3,
S086,Red,1,175,1,R-1-175-1,
S086,Green,1,179,3,G-1-179-3,
S087,Orange,1,7,2,O-1-7-2,
S087,Red,1,11,3,R-1-11-3,
S087,Blue,1,53,3,B-1-53-3,
S087,Green,1,221,3,G-1-221-3,
S088,Green,1,57,1,G-1-57-1,
S088,Red,1,80,2,R-1-80-2,
